SKU ID,Product Name,Category,Supplier,Warehouse,Opening Stock,Received Qty,Sold Qty,Closing Stock,Reorder Level,Unit Cost,Date
SKU10000,Seagate Hard Drive,electronics,Vertex Solutions,Pune WH,-377,57,12,-332,,36849.91,23-11-2025
SKU10001,Lenovo Tablet,Electronics,TechNova Pvt Ltd,Mumbai WH,429,279,89,619,95,11010.03,01-06-2025
SKU10002,Blue Yeti Microphone,IT Equipment,Vertex Solutions,Delhi WH,358,13,287,84,45,29504.36,07-01-2024
SKU10003,Seagate Hard Drive,electronics,Vertex Solutions,Nagpur WH,438,81,432,87,63,5200.29,24-01-2025
SKU10004,Seagate Hard Drive,Electronics,,Bengaluru WH,99,183,176,106,97,6328.83,22-01-2025
SKU10005,LG LED Screen,Electronic,Vertex Solutions,Mumbai WH,90,282,150,222,100,2386.64,21-08-2024
SKU10006,Dell Mouse,IT Equipment,Apex Distributors,Delhi WH,445,148,81,512,49,31820.65,08-01-2025
SKU10007,Seagate Hard Drive,office supplies,Prime Supplies,Bengaluru WH,133,189,181,141,46,31785.42,30-06-2025
SKU10008,HP Scanner,Electronic,Vertex Solutions,Nagpur WH,423,125,167,381,79,42158.31,27-02-2024
SKU10009,HP Scanner,Electronic,Prime Supplies,Pune WH,167,16,206,-23,60,45665.49,03-08-2025
SKU10010,HP Scanner,office supplies,,Pune WH,498,161,217,442,83,13317.52,09-09-2024
SKU10011,Office Desk,IT Equipment,,Nagpur WH,431,287,551,167,53,11044.11,21-05-2024
SKU10012,Dell Mouse,electronics,Global Traders,Delhi WH,310,252,93,469,26,29860.81,29-01-2025
SKU10013,Dell Laptop,office supplies,Prime Supplies,Bengaluru WH,245,239,257,227,90,37568.8,18-10-2025
SKU10014,TP-Link Router,IT Equipment,TechNova Pvt Ltd,Nagpur WH,224,57,150,131,75,48597.22,01-07-2024
SKU10015,Dell Docking Station,Office Supplies,Vertex Solutions,Pune WH,309,54,320,43,58,18758.3,14-06-2024
SKU10016,Office Chair,IT Equipment,TechNova Pvt Ltd,Mumbai WH,326,271,0,597,96,46462.02,10-11-2024
SKU10017,Logitech Keyboard,Electronics,,Mumbai WH,172,29,61,140,92,48901.43,29-06-2025
SKU10018,Blue Yeti Microphone,electronics,Apex Distributors,Bengaluru WH,442,64,131,375,80,43634.41,09-03-2025
SKU10019,Logitech Webcam,IT Equipment,NextGen Systems,Delhi WH,158,276,386,48,45,44990.74,07-04-2025
SKU10020,Office Chair,Electronics,Vertex Solutions,Bengaluru WH,111,126,115,122,28,11088.85,13-03-2024
SKU10021,HP Monitor,Electronic,Prime Supplies,Bengaluru WH,412,30,117,325,28,11976.43,16-11-2025
SKU10022,Office Desk,Office Supplies,,Pune WH,298,109,276,131,36,39252.51,20-02-2025
SKU10023,Epson Projector,IT Equipment,,Delhi WH,147,48,24,171,75,43205.45,25-02-2024
SKU10024,Office Chair,Electronics,Vertex Solutions,Pune WH,394,50,31,413,71,9591.42,04-04-2025
SKU10025,APC UPS,electronics,Prime Supplies,Delhi WH,121,216,93,244,55,40420.31,17-07-2025
SKU10026,Dell Laptop,Electronics,Vertex Solutions,Pune WH,100,25,166,-41,89,20380.06,07-05-2025
SKU10027,HP Scanner,Electronics,,Nagpur WH,159,205,30,334,41,46333.25,10-04-2025
SKU10028,Cisco Switch,electronics,Vertex Solutions,Nagpur WH,196,216,356,56,91,10963.27,29-02-2024
SKU10029,HP Monitor,Electronics,,Bengaluru WH,346,277,62,561,60,45977.42,27-06-2025
SKU10030,TP-Link Router,Electronics,Prime Supplies,Pune WH,130,29,130,29,30,20248.4,06-08-2025
SKU10031,Logitech Keyboard,IT Equipment,NextGen Systems,Nagpur WH,176,296,40,432,99,10292.53,17-11-2024
SKU10032,Logitech Webcam,IT Equipment,NextGen Systems,Mumbai WH,172,135,202,105,36,564.84,28-09-2025
SKU10033,JBL Headset,Office Supplies,Apex Distributors,Pune WH,338,51,37,352,88,46669.64,11-03-2024
SKU10034,TP-Link Router,IT Equipment,Apex Distributors,Bengaluru WH,500,125,378,247,56,49194.28,31-10-2025
SKU10035,Logitech Webcam,office supplies,Prime Supplies,Pune WH,320,4,341,-17,90,13296.85,19-04-2024
SKU10036,Logitech Webcam,Office Supplies,Vertex Solutions,Nagpur WH,430,283,159,554,54,10259.51,11-10-2025
SKU10037,Seagate Hard Drive,Electronics,Prime Supplies,Delhi WH,486,135,517,104,82,41484.47,15-02-2024
SKU10038,TP-Link Router,office supplies,,Bengaluru WH,51,170,66,155,53,35312.81,28-07-2025
SKU10039,Blue Yeti Microphone,Electronics,NextGen Systems,Bengaluru WH,54,57,19,92,39,27671.0,16-03-2025
SKU10040,HP Monitor,Electronic,Vertex Solutions,Pune WH,115,21,78,58,66,33379.98,28-12-2024
SKU10041,Canon Printer,electronics,Global Traders,Pune WH,449,286,416,319,99,44082.67,26-01-2024
SKU10042,Seagate Hard Drive,electronics,Prime Supplies,Delhi WH,141,170,210,101,51,43621.12,26-04-2025
SKU10043,Logitech Webcam,electronics,Vertex Solutions,Mumbai WH,163,102,235,30,64,33035.66,12-02-2025
SKU10044,Epson Projector,office supplies,,Bengaluru WH,218,142,35,325,55,16624.38,29-01-2024
SKU10045,Seagate Hard Drive,Electronics,Prime Supplies,Bengaluru WH,109,133,91,151,94,21784.73,17-11-2024
SKU10046,Office Desk,electronics,Apex Distributors,Mumbai WH,273,261,118,416,69,35468.39,02-01-2024
SKU10047,Lenovo Tablet,Electronics,NextGen Systems,Bengaluru WH,316,275,201,390,66,15764.39,07-05-2024
SKU10048,Lenovo Tablet,Electronic,,Nagpur WH,418,153,519,52,59,27765.18,15-07-2024
SKU10049,LG LED Screen,Office Supplies,Apex Distributors,Delhi WH,265,194,346,113,42,27442.07,01-01-2024
SKU10050,Lenovo Tablet,Office Supplies,NextGen Systems,Delhi WH,205,146,107,244,,22145.12,22-11-2025
